372,3,1867.52,446.46,59.15,160.92,1,-1,-1,-1
372,42,1050.85,443.21,100.53,266.07,1,-1,-1,-1
372,45,1267.17,458.16,60.88,163.66,1,-1,-1,-1
372,58,1203.09,468.23,74.53,161.48,1,-1,-1,-1
372,62,1772.80,446.59,128.38,367.34,1,-1,-1,-1
372,77,1821.08,415.50,103.54,288.60,1,-1,-1,-1
372,82,658.06,464.99,28.23,82.22,1,-1,-1,-1
372,86,1989.16,463.82,102.93,296.53,1,-1,-1,-1
372,92,1765.44,484.54,138.01,256.20,1,-1,-1,-1
372,96,2064.82,433.07,71.08,209.33,1,-1,-1,-1
372,98,1212.68,457.70,64.08,173.42,1,-1,-1,-1
372,100,1651.02,613.08,93.91,131.62,1,-1,-1,-1
372,103,1863.42,443.46,63.40,223.21,1,-1,-1,-1
372,104,2038.32,857.12,31.59,51.39,1,-1,-1,-1
372,105,1609.93,432.87,44.88,161.22,1,-1,-1,-1
372,107,1794.09,443.71,36.83,145.36,1,-1,-1,-1
372,110,1654.53,421.54,131.75,314.81,1,-1,-1,-1
372,111,1018.98,495.64,124.13,208.34,1,-1,-1,-1
372,112,890.15,466.27,52.73,115.79,1,-1,-1,-1
372,114,1645.24,473.31,286.07,254.11,1,-1,-1,-1
372,115,1372.74,501.37,33.95,83.04,1,-1,-1,-1
372,116,1736.52,454.31,53.06,139.97,1,-1,-1,-1
