1.00,1219.28,467.46,1291.23,629.66
1.00,1278.74,457.48,1338.87,622.50
1.00,767.43,461.88,810.11,587.09
1.00,717.30,460.75,757.51,585.92
1.00,982.27,457.17,1060.47,641.65
1.00,667.16,462.42,696.17,545.89
1.00,905.81,480.70,959.43,579.87
1.00,1000.74,464.40,1060.13,630.64
1.00,1621.48,436.47,1674.75,594.18
2.00,1215.61,471.82,1292.95,627.53
2.00,1277.55,455.41,1339.38,622.58
2.00,991.21,461.33,1059.25,641.80
2.00,667.73,462.10,696.24,546.64
2.00,773.38,465.28,810.78,586.27
2.00,716.79,459.75,760.62,586.04
2.00,905.23,478.14,961.61,577.98
2.00,1619.99,435.14,1670.85,588.71
3.00,1218.04,470.69,1288.15,629.84
3.00,1279.65,460.31,1339.07,621.93
3.00,1001.81,463.72,1062.13,642.28
3.00,770.21,463.89,811.01,586.46
3.00,667.35,462.40,696.19,546.89
3.00,717.55,461.62,762.61,585.14
3.00,1621.71,434.86,1675.16,593.30
3.00,863.18,492.25,904.87,567.97
3.00,904.55,482.35,960.55,579.25
4.00,1217.95,468.38,1288.75,630.20
4.00,1281.31,461.28,1338.34,621.95
4.00,770.97,463.51,811.08,587.11
4.00,667.88,462.65,696.29,547.19
4.00,993.08,463.05,1067.67,642.97
4.00,714.75,462.76,760.77,586.79
4.00,861.73,492.26,905.11,567.43
4.00,728.20,464.61,775.58,588.17
4.00,904.93,482.05,961.18,576.72
5.00,1278.64,460.63,1339.09,622.82
5.00,1217.43,462.36,1287.72,629.45
5.00,770.12,464.73,813.56,587.22
5.00,1013.99,460.45,1071.80,643.86
5.00,668.32,462.48,696.29,547.44
5.00,1622.51,436.13,1672.86,592.40
5.00,717.11,465.07,759.34,586.84
5.00,904.94,480.35,961.65,576.95
5.00,862.01,491.49,904.00,557.13
6.00,1277.89,459.80,1339.32,622.59
6.00,1216.21,468.63,1289.66,629.15
6.00,1012.38,452.57,1073.27,646.92
6.00,770.69,463.62,814.26,588.73
6.00,668.77,462.52,696.41,547.17
6.00,1622.11,436.35,1671.25,590.49
6.00,724.92,461.17,774.57,588.05
6.00,719.44,463.43,761.88,587.01
6.00,736.33,466.24,778.23,588.49
6.00,904.24,477.26,960.04,576.07
7.00,1018.44,452.99,1081.37,647.38
7.00,1214.77,470.09,1288.03,629.48
7.00,1278.30,457.99,1341.55,622.72
7.00,772.93,464.08,816.60,588.00
7.00,668.52,462.73,696.46,546.79
7.00,719.87,465.77,760.89,586.12
7.00,904.65,475.64,960.29,574.02
8.00,1219.50,472.70,1288.26,629.58
8.00,1020.50,454.84,1085.85,648.12
8.00,1276.02,457.58,1341.09,623.19
8.00,773.64,464.13,818.72,588.08
8.00,669.09,463.64,696.38,547.17
8.00,723.28,466.02,765.05,586.79
8.00,905.70,479.38,960.71,572.84
9.00,1220.47,476.77,1287.77,629.45
9.00,1021.33,457.36,1094.83,648.08
9.00,1275.24,455.92,1340.64,623.28
9.00,775.33,464.16,820.94,588.22
9.00,669.50,463.59,696.50,547.23
9.00,725.35,462.34,766.85,589.53
9.00,904.79,478.11,960.23,572.28
9.00,1621.74,434.96,1671.44,592.02
